12,unsung,장생,목욕,관대,건록,제왕,쇠,병,사,묘,절,태,양
gan,ganh,長生,沐浴,冠帶,建祿,帝王,衰,病,死,墓,絶,胎,養
甲,갑,亥,子,丑,寅,卯,辰,巳,午,未,申,酉,戌
乙,을,午,巳,辰,卯,寅,丑,子,亥,戌,酉,申,未
丙,병,寅,卯,辰,巳,午,未,申,酉,戌,亥,子,丑
丁,정,酉,申,未,午,巳,辰,卯,寅,丑,子,亥,戌
戊,무,寅,卯,辰,巳,午,未,申,酉,戌,亥,子,丑
己,기,酉,申,未,午,巳,辰,卯,寅,丑,子,亥,戌
庚,경,巳,午,未,申,酉,戌,亥,子,丑,寅,卯,辰
辛,신,子,亥,戌,酉,申,未,午,巳,辰,卯,寅,丑
壬,임,申,酉,戌,亥,子,丑,寅,卯,辰,巳,午,未
癸,계,卯,寅,丑,子,亥,戌,酉,申,未,午,巳,辰
