많은 오행,특성,비고
木,사주팔자에 木이 많다는 것은 계절적으로 봄의 기운이 많다는 것으로 새롭게 시작하는 기운이나 솟아오르는 운동이 강하다는 것을 말하고 하루의 개념으로는 아침의 기운이 많다는 뜻이다.,화술. 기획. 준비. 학업. 문학. 수단. 운영 등의 능력이 좋다.
火,사주팔자에 火가 많다는 것은 계절적으로 여름의 기운이 많다는 것으로 발산하거나 확장하는 기운이 많다는 것을 말하고 하루에 개념으로는 낮의 기운이 많다는 뜻이다.,예술. 음악. 연예. 스포츠. 정열. 행동력. 실천력 등의 능력이 좋다.
土,사주팔자에 土가 많다는 것은 계절적으로 양과 음을 연결 시켜주는 기운이 많다는 것으로서 확장하는 기운을 억제하고 결실을 유도하는 중계작용을 하는 기운이 많다는 뜻이다.,정착. 영업. 중화. 저장. 토지. 생산. 소개 등의 능력이 좋다.
金,사주팔자에 金이 많다는 것은 계절적으로 가을의 기운이 많다는 것으로 결실을 맺거나 떨어뜨리는 기운이 많다는 것을 말하고 하루의 개념으로는 저녁이 많다는 뜻이다.,결단력. 의리. 행동력. 정의감. 실천력. 희생정신. 혁명성 등의 능력이 좋다.
水,사주팔자에 水가 많다는 것은 계절적으로 겨울의 기운이 많다는 것으로. 저장하고 수렴하는 기운이 많다는 것을 말하고 하루의 개념으로는 밤이 많다는 뜻이다.,끈기. 유통. 생명력. 수렴. 학문성. 정력. 인내심 등의 능력이 좋다.
