십성,상징,음양,육친(남명),육친(여명)
비견,나,중,형제 자매 친구 며느리 처남 동업자,형제 자매 남편의 형제자매 친구 동료
겁재,나,중,형제 자매 며느리 처남,형제 자매 시아버지 남편의 형제자매
식신,일(활동),양,장모 사위,자식
상관,일(활동),양,할머니,할머니 자식
편재,돈(결과),양,아버지 부인 부인의 형제자매 연인,아버지 시어머니
정재,돈(결과),양,부인 연인,시어머니
편관,명예,음,자식,남편 연인
정관,명예,음,자식,남편 며느리 연인
편인,공부,음,할아버지 어머니,할아버지 어머니 사위
정인,공부,음,어머니 장인,어머니
