연지/ 연운지, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
子,,,, 삼재, 삼재,,,,,,,
丑,, 삼재,,,,,,,,,,
寅,,,,,,,,, 삼재, 삼재, 삼재,
卯,,,,,,, 삼재, 삼재,,,,
辰,,,,, 삼재,,,,,,,
巳, 삼재, 삼재,,,,,,,,,, 삼재
午,,,,,,,,,, 삼재, 삼재,
未,,,,,,,, 삼재,,,,
申,,, 삼재, 삼재, 삼재,,,,,,,
酉, 삼재, 삼재,,,,,,,,,,
戌,,,,,,,,,,, 삼재,
亥,,,,,, 삼재, 삼재, 삼재,,,,
