간지, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
甲,,,,, 백호,,,,,,,
乙,, 곡각,, 곡각,, 곡각 신병,, 곡각 백호 신병,, 곡각,, 곡각
丙,,,,,,,,,,, 백호,
丁,, 곡각 백호,,,, 곡각,,,,,,
戊,,,,, 백호,,,,,,,
己,, 곡각,, 곡각,, 곡각 신병,, 곡각,, 곡각,, 곡각
庚,,,,,,,,,,,,
辛,, 곡각,,,, 곡각,,,,,,
壬,,,,,,,,,,, 백호,
癸,, 곡각 백호,,,, 곡각,,,,,,
