귀문, 작용
辰亥, 집요. 잔소리. 표독. 복수. 기억력. 결벽증. 히스테리. 척병
酉子, 마마보이. 공주병. 의타심. 자유주의. 무절제. 무책임
未子, 마마보이. 공주병. 의타심. 자유주의. 무절제. 무책임
未寅, 무관심. 무표정. 나태. 무반응. 애늙은이. 애매모호
寅酉, 무관심. 무표정. 나태. 무반응. 애늙은이. 애매모호
丑午, 다혈질. 감정기복. 폭발적. 조급. 작파(作破). 분기탱천. 자학
申卯, 만심. 유아독족. 선민성. 상대무시. 자기주장. 과대망상
巳戌, 기만. 음흉. 사기. 이중성. 표리부동. 극단적 이기심
