일간/ 월일시지, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
甲,,, 건록,,,,,,,,,
乙,,,, 건록,,,,,,,,
丙,,,,,, 건록,,,,,,
丁,,,,,,, 건록,,,,,
戊,,,,,, 건록,,,,,,
己,,,,,,, 건록,,,,,
庚,,,,,,,,, 건록,,,
辛,,,,,,,,,, 건록,,
壬,,,,,,,,,,,, 건록
癸, 건록,,,,,,,,,,,
