월지/ 일시지, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
子,,,,,,,,,,,, 단교관
丑, 단교관,,,,,,,,,,,
寅,,, 단교관,,,,,,,,,
卯,,,, 단교관,,,,,,,,
辰,,,,,,,,, 단교관,,,
巳,, 단교관,,,,,,,,,,
午,,,,,,,,,,, 단교관,
未,,,,,,,,,, 단교관,,
申,,,,, 단교관,,,,,,,
酉,,,,,, 단교관,,,,,,
戌,,,,,,, 단교관,,,,,
亥,,,,,,,, 단교관,,,,
