일간/ 일시지, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
甲,, 뇌공관,,, 금여,,,,,,,
乙,,,,,, 금여, 뇌공관,,,,,
丙, 뇌공관,,,,,,, 금여,,,,
丁, 뇌공관,,,,,,,, 금여,,,
戊,,,,,,,, 금여,,, 뇌공관,
己,,,,,,,,, 금여,, 뇌공관,
庚,,, 뇌공관,,,,,,,, 금여,
辛,,, 뇌공관,,,,,,,,, 금여
壬,, 금여,,,,,,,, 뇌공관,,
癸,,, 금여,,,,,,,,, 뇌공관
