from, to, 시, 시각
00:00, 00:59, 자, 0
01:00, 02:59, 축, 1
03:00, 04:59, 인, 2
05:00, 06:59, 묘, 3
07:00, 08:59, 진, 4
09:00, 10:59, 사, 5
11:00, 12:59, 오, 6
13:00, 14:59, 미, 7
15:00, 16:59, 신, 8
17:00, 18:59, 유, 9
19:00, 20:59, 술, 10
21:00, 22:59, 해, 11
23:00, 23:59, 자, 12
