일간합,합화오행,합화생,합화극,원국일간합과 행운합,병적 증세
甲己,土,己,甲,甲합과 甲木투합행운,위장장애 무력증
乙庚,金,庚,乙,庚합과 庚金투합행운,편두통 어지럼증 빙의
丙辛,水,,丙辛,丙합과 丙火투합행운,피부병 기관지 천식
丁壬,木,丁,壬,壬합과 壬水투합행운,심혈관질환 조울증
戊癸,火,戊,癸,戊합과 戊土투합행운,신장병 혈류병 산액 중독증
