월지/ 지지, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
子,, 급각,,, 급각, 천덕귀인,,,,,, 천의성
丑, 천의성, 급각,,, 급각,,,,,,,
寅, 급각, 천의성,,,,,,,,,, 급각
卯, 급각,, 천의성,,,,,, 천덕귀인,,, 급각
辰, 급각,,, 천의성,,,,,,,, 급각
巳,,,, 급각, 천의성,,, 급각,,,,
午,,,, 급각,, 천의성,, 급각,,,, 천덕귀인
未,,,, 급각,,, 천의성, 급각,,,,
申,,, 급각,,,,, 천의성,,, 급각,
酉,,, 급각 천덕귀인,,,,,, 천의성,, 급각,
戌,,, 급각,,,,,,, 천의성, 급각,
亥,, 급각,,, 급각,,,,,, 천의성,
