체운,비견,겁재,식신,상관,편재,정재,편관,정관,편인,정인
운의방향,↗,↘,↗,↘,↗,↗,↘,↗,↘,↗
비견,길,길,길,길,흉,흉,흉,흉,길,길
겁재,길,길,길,길,흉,흉,흉,흉,길,길
식신,길,길,길,길,길,길,흉,흉,흉,흉
상관,길,길,길,길,길,길,흉,흉,흉,흉
편재,흉,흉,길,길,길,길,길,길,흉,흉
정재,흉,흉,길,길,길,길,길,길,흉,흉
편관,흉,흉,흉,길,길,길,길,길,길,길
정관,흉,흉,흉,흉,길,길,길,길,길,길
편인,길,길,흉,흉,흉,흉,길,길,길,길
정인,길,길,흉,흉,흉,흉,길,길,길,길
