원국행운, 결과, 참조
합합, 합, 1
합충, 정지, 7
합형, 정지, 7
합해, 해흉, 8
합파, 정지, 7
충합, 정지, 7
충충, 충, 2
충형, 충, 2
충해, 해흉, 8
충파, 정지, 7
해합, 정지, 7
해충, 충, 2
해형, 형, 5
해해, 해, 3
해파, 파, 4
파합, 정지, 7
파충, 충, 2
파형, 형, 5
파해, 해, 3
파파, 파, 4
형합, 정지, 7
형충, 형, 5
형형, 형, 5
형해, 정지, 7
형파, 정지, 7
-합, 합, 1
-충, 충, 2
-형, 형, 5
-해, 해, 3
-파, 파, 4
