육합, 심리특성, 행운합 특성
子丑, 관조적 사색적. 원국에 수기(水氣)가 강하면 합화수(合化水)로 변하고 토기(土氣)가 강하면 합화토(合化土)로 변하는 이중성.. 생각이 깊고 관조적인 성격으로서 행동에 앞서 심사숙고하지만 실행력은 떨어진다.., 일의 중단 새로운 일 도모. 행운 특히 연운이 일지와 자축(子丑)합을 이루면 그 해는 새로운 어떤 일을 도모하기 위해 구상하거나 기획하고 있으므로 지금 하고 있는 일의 급작스런 중단이 올 수 있음을 암시
寅亥, 오지랖 참여심리 발동. 오지랖이 넓고 직간접으로 어딘가에 참여하려는 심리가 강함.., 새로운 일에 참여 또는 봉사활동. 일지가 연운과 인해(寅亥)합을 이루면 자의 반 타의 반 타인을 위해 봉사하거나 또는 자신의 성공을 위해 고군분투하여 출세 지향적 운명에 놓이기 쉽다.. 특히 선거 관련 출마 및 봉사 또는 각종의 사회활동 등으로 바쁘게 움직이는 일들과 관련이 있음을 암시
卯戌, 재적 성취 등 결과 추구. 사람은 성격이 급하고 신속하게 결과를 추구.., 분주 다망하지만 일득삼실. 행운에서 일지와 합하는 묘술(卯戌)운이 도래하면 재적 성취 또는 지나치게 결과만을 추구하는 등 분주다망한 일들에 관여함을 암시.. 특히 사업가는 사업 성과와는 달리 점검과 확인 소홀로 업무상 재해를 초래할 수 있고 개인은 외부 업무와 관련해 바쁜 삶을 추구하는 과정에서 인간적 은원(恩怨)이 교차하는 가운데 일득삼실(一得三失)의 노다공소(勞多功小)할 수 있음
辰酉, 간섭 및 참견 적극적. 다정과 관심이 지나쳐 과잉 친절하기 쉽고 타인의 일에 간섭 및 잔소리가 심한 경향.., 과잉행동으로 불화 또는 반목. 연운이 일지와 진유(辰酉)합이 되는 행운에는 무단히 타인의 일에 간여하는 일로 인해 갈등하기 쉬운 가운데 자신의 능력과 도움을 대단히 큰 것으로 착각한 결과 자칫 섭섭함이 배가 되어 타인을 원망하거나 불신하여 불화 및 반목으로 이어질 것임을 암시
巳申, 과거 집착 회귀경향. 과거를 반추(反芻)하거나 회상하는 은원(恩怨)의 심리적 기복이 심하여 다소 멜랑콜리(melancholy)할 수 있으므로 과거에 집착할 수 있음.., 분노 원망 갈등 시성종패. 연운이 일지와 합하는 사신(巳申)합이 되면 과거와 관련된 회상 추억 이성 그리움 원망 아쉬움 등이 표출되는데 이때 길흉은 확연히 달라진다.. 만약 사신(巳申)합의 형(刑)이 재관으로 작용하면 부부갈등 피할 수 없고 다른 육신도 깊은 원망과 분노로 이어질 공산이 크다. 특히 어떤 결과의 아쉬움을 의미하므로 시험 혼담 승진승급 계약 이전 개업인간관계 등에서 시성종패(始成終敗)를 암시
午未, 타인배타 소극적. 자기가 최고라는 착각 또는 주기보다 받는 쪽에 익숙하여 현재의 상황이 유지되기 바라는 심리가 강하다.., 고독을 자처하거나 외로움에 처함. 행운에서 일지와 합하여 오미(午未)합이 되면 현실 개선보다 현실 안주에 몰입하여 타인을 배타하며 소극적 인간관계 등으로 고독을 자처하는 형국이 되거나 혹은 스스로 격리된 삶을 선택함으로써 외톨이가 될 수 있음을 암시
