생극, 동기, 순생, 순극, 역극, 역생
길흉, 차순위 활성, 처음부터 길, 처음부터 흉, 마지막에 흉, 마지막에 길
비겁, 비겁, 식상, 재성, 관성, 인성
식상, 식상, 재성, 관성, 인성, 비겁
재성, 재성, 관성, 인성, 비겁, 식상
관성, 관성, 인성, 비겁, 식상, 재성
인성, 인성, 비겁, 식상, 재성, 관성
