일간/ 시지, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
甲,,,,,, 낙정관,,,,,,
乙, 낙정관,,,,,,,,,,,
丙,,,,,,,,, 낙정관,,,
丁,,,,,,,,,,, 낙정관,
戊,,,, 낙정관,,,,,,,,
己,,,,,, 낙정관,,,,,,
庚, 낙정관,,,,,,,,,,,
辛,,,,,,,,, 낙정관,,,
壬,,,,,,,,,,, 낙정관,
癸,,,, 낙정관,,,,,,,,
