일지, 합, 충, 형, 해, 파, 합파, 충형, 형해, 형파, 합형파
子, 丑, 午, 卯, 未, 酉, -, -, -, -, -
丑, 子, -, 戌, 午, 辰, -, 未, -, -, -
寅, -, -, -, -, -, 亥, 申, 巳, -, -
卯, 戌, 酉, 子, 辰, 午, -, -, -, -, -
辰, 酉, 戌, 辰, 卯, 丑, -, -, -, -, -
巳, -, 亥, -, -, -, -, -, 寅, -, 申
午, 未, 子, 午, 丑, 卯, -, -, -, -, -
未, 午, -, -, 子, -, -, 丑, -, 戌, -
申, -, -, -, 亥, -, -, 寅, -, -, 巳
酉, 辰, 卯, 酉, 戌, 子, -, -, -, -, -
戌, 卯, 辰, 丑, 酉, -, -, -, -, 未, -
亥, -, 巳, 亥, 申, -, 寅, -, -, -, -
