일간,천간,합화오행,일간심리,일간의 배우자상,일간의 일반적 특성,비고
甲,己,土,재성심리,모성애/헌신적 여성(己),안정 정직 순리,남명 정재합(시간)
丙,辛,水,관성심리,이지적/세련된 여성(辛),원칙 정도 순수,남명 정재합(시간)
戊,癸,火,인성심리,감성적/순종적 여성(癸),한길 소극 정적,남명 정재합(시간)
庚,乙,金,비견심리,생활력/현실적 여성(乙),경쟁 고집 자존,남명 정재합(시간)
壬,丁,木,식상심리,활동적/명랑한 여성(丁),활발 창조 적극,남명 정재합(시간)
乙,庚,金,관성심리,의협심/순정파 남성(庚),규범 행동 체면,여명 정관합(월간)
丁,壬,木,인성심리,이해심/이지적 남성(壬),직관 수용 과정,여명 정관합(월간)
己,甲,土,비견심리,자존심/진취적 남성(甲),주관 독창 직선,여명 정관합(월간)
辛,丙,水,식상심리,인간미/털털한 남성(丙),감성 배려 감동,여명 정관합(월간)
癸,戊,火,재성심리,포용력/듬직한 남성(戊),유동 결과 실리,여명 정관합(월간)
