월지천간,甲,乙,丙,丁,戊,己,庚,辛,壬,癸,,,tbl_code
子,,,,,,,,,월덕귀인,,,,dc01_mj_gg
丑,,,,,,,월덕귀인 천덕귀인,,,,,,dc01_mj_gg
寅,,,월덕귀인,천덕귀인,,,,,,,,,dc01_mj_gg
卯,월덕귀인,,,,,,,,,,,,dc01_mj_gg
辰,,,,,,,,,월덕귀인 천덕귀인,,,,dc01_mj_gg
巳,,,,,,,월덕귀인,천덕귀인,,,,,dc01_mj_gg
午,,,월덕귀인,,,,,,,,,,dc01_mj_gg
未,월덕귀인 천덕귀인,,,,,,,,,,,,dc01_mj_gg
申,,,,,,,,,월덕귀인,천덕귀인,,,dc01_mj_gg
酉,,,,,,,월덕귀인,,,,,,dc01_mj_gg
戌,,,월덕귀인 천덕귀인,,,,,,,,,,dc01_mj_gg
亥,월덕귀인,천덕귀인,,,,,,,,,,,dc01_mj_gg
