천간,천간h,오행,음양,이름,색
甲,갑,목,양,갑양목,#3c3
乙,을,목,음,을음목,#3c3
丙,병,화,양,병양화,#f00
丁,정,화,음,정음화,#f00
戊,무,토,양,무양토,#fc6
己,기,토,음,기음토,#fc6
庚,경,금,양,경양금,#fff
辛,신,금,음,신음금,#fff
壬,임,수,양,임양수,#666
癸,계,수,음,계음수,#666
