월지/ 천간, 甲, 乙, 丙, 丁, 戊, 己, 庚, 辛, 壬, 癸
子,,,,,,,,, 월덕귀인,
丑,,,,,,, 월덕귀인 천덕귀인,,,
寅,,, 월덕귀인, 천덕귀인,,,,,,
卯, 월덕귀인,,,,,,,,,
辰,,,,,,,,, 월덕귀인 천덕귀인,
巳,,,,,,, 월덕귀인, 천덕귀인,,
午,,, 월덕귀인,,,,,,,
未, 월덕귀인 천덕귀인,,,,,,,,,
申,,,,,,,,, 월덕귀인, 천덕귀인
酉,,,,,,, 월덕귀인,,,
戌,,, 월덕귀인 천덕귀인,,,,,,,
亥, 월덕귀인, 천덕귀인,,,,,,,,
