원국,원국1,통근,월지,합,합1,충,충1,쟁,쟁1,극,극1,-,-1
-,-,0,0,성합,1,충발,8,-,-,-,-,-,-
-,-,0,1,합화,2,충발,8,-,-,-,-,-,-
-,-,1,0,불합,3,충발,8,-,-,-,-,-,-
-,-,1,1,불합,3,충발,8,-,-,-,-,-,-
성합,1,-,0,합봉,4,합파,6,합봉,4,성합,1,성합,1
합화,2,-,1,용봉,5,합파,6,용봉,5,성합,1,합화,2
불합,3,-,0,성합,1,불합 충,7,성합,1,불합,3,불합,3
불합,3,-,1,합화,2,불합 충,7,합화,2,불합,3,불합,3
합파,6,-,0,성합,1,합파 충,9,합파,6,성합,1,합파,6
합파,6,-,1,합화,2,합파 충,9,합파,6,합화,2,합파,6
불합 충,7,-,-,불합,3,불합 충,7,불합,3,불합,3,불합 충,7
충발,8,-,-,충거,b,충발,8,충발,8,충거,b,충발,8
