시주,0,1,2,3,4,5,6,7,8,9,10,11,12
일간,자,축,인,묘,진,사,오,미,신,유,술,해,자
갑,갑자,을축,병인,정묘,무진,기사,경오,신미,임신,계유,갑술,을해,병자
을,병자,정축,무인,기묘,경진,신사,임오,계미,갑신,을유,병술,정해,무자
병,무자,기축,경인,신묘,임진,계사,갑오,을미,병신,정유,무술,기해,경자
정,경자,신축,임인,계묘,갑진,을사,병오,정미,무신,기유,경술,신해,임자
무,임자,계축,갑인,을묘,병진,정사,무오,기미,경신,신유,임술,계해,갑자
기,갑자,을축,병인,정묘,무진,기사,경오,신미,임신,계유,갑술,을해,병자
경,병자,정축,무인,기묘,경진,신사,임오,계미,갑신,을유,병술,정해,무자
신,무자,기축,경인,신묘,임진,계사,갑오,을미,병신,정유,무술,기해,경자
임,경자,신축,임인,계묘,갑진,을사,병오,정미,무신,기유,경술,신해,임자
계,임자,계축,갑인,을묘,병진,정사,무오,기미,경신,신유,임술,계해,갑자
