간지,종류,합화,색
甲己,천간합,토,#fc6
乙庚,천간합,금,#fff
丙辛,천간합,수,#666
丁壬,천간합,목,#3c3
戊癸,천간합,화,#f00
子丑,지지육합,토,#fc6
寅亥,지지육합,목,#3c3
卯戌,지지육합,화,#f00
辰酉,지지육합,금,#fff
巳申,지지육합,수,#666
午未,지지육합,화,#f00
寅午戌,지지삼합,화,#f00
申子辰,지지삼합,수,#666
巳酉丑,지지삼합,금,#fff
亥卯未,지지삼합,목,#3c3
寅卯辰,지지방합,목,#3c3
巳午未,지지방합,화,#f00
申酉戌,지지방합,금,#fff
亥子丑,지지방합,수,#666
