간지,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥,tbl_code
癸,,단장관 음욕 장군부,,일귀,,복신 음양차착 일귀,,남연,,효신,,복신 음양차착 음인,da06_gj_dgj
甲,,,,,재고귀인,,,,,,,,da07_gj_dgj-dg_hj
乙,,,,,,,,,,,,,da07_gj_dgj-dg_hj
丙,,,,,,,,,,,재고귀인,,da07_gj_dgj-dg_hj
丁,,재고귀인,,,,,,,,,,,da07_gj_dgj-dg_hj
戊,,,,,,,,,,,재고귀인,,da07_gj_dgj-dg_hj
己,,재고귀인,,,,,,,,,,,da07_gj_dgj-dg_hj
庚,,,,,,,,,,,,,da07_gj_dgj-dg_hj
辛,,,,,,,,재고귀인,,,,,da07_gj_dgj-dg_hj
壬,,,,,,,,,,,재고귀인,,da07_gj_dgj-dg_hj
癸,,,,,,,,,,,,,da07_gj_dgj-dg_hj
甲,,,간여지동,,,,,,,,,,da08_gj_dgj-hgj
乙,,,,간여지동,,,,,,,,,da08_gj_dgj-hgj
丙,,,,,,,간여지동,,,,,,da08_gj_dgj-hgj
丁,,,,,,간여지동,,,,,,,da08_gj_dgj-hgj
戊,,,,,간여지동,,,,,,간여지동,,da08_gj_dgj-hgj
己,,간여지동,,,,,,간여지동,,,,,da08_gj_dgj-hgj
庚,,,,,,,,,간여지동,,,,da08_gj_dgj-hgj
辛,,,,,,,,,,간여지동,,,da08_gj_dgj-hgj
壬,간여지동,,,,,,,,,,,,da08_gj_dgj-hgj
癸,,,,,,,,,,,,간여지동,da08_gj_dgj-hgj
甲,,,,,,,의처의부,,,,,,da09_gj_dgj-ymtgj
乙,,,,,,의처의부 신병,,신병,,,,,da09_gj_dgj-ymtgj
丙,,,,,,,,,,,의처의부,,da09_gj_dgj-ymtgj
丁,,,,,,,,,,,,의처의부,da09_gj_dgj-ymtgj
戊,,,,,의처의부,,,,,,,,da09_gj_dgj-ymtgj
己,,,,,,신병,,,,,,의처의부,da09_gj_dgj-ymtgj
庚,,,,,의처의부,,,,,,,,da09_gj_dgj-ymtgj
辛,,,,,,의처의부,,,,,,,da09_gj_dgj-ymtgj
壬,,,,,,,,,,,의처의부,,da09_gj_dgj-ymtgj
癸,,,,,,,,,,,,의처의부,da09_gj_dgj-ymtgj
甲,,,,,,,,,,,,,da10_gj_dtgj
