일간/ 연운지, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
甲,, 계비관,,,, 계비관,,,, 계비관,,
乙, 계비관,,,,,,,,,,,
丙, 계비관,,,,,,,,,,,
丁, 계비관,,,,,,,,,,,
戊, 계비관,,,,,,,,,,,
己,, 계비관,,,, 계비관,,,, 계비관,,
庚,,, 계비관,,,, 계비관,,,, 계비관,
辛,,, 계비관,,,, 계비관,,,, 계비관,
壬,,, 계비관,,,, 계비관,,,, 계비관,
癸,,, 계비관,,,, 계비관,,,, 계비관,
