일시주, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
甲,,,,,,,,,,, 과살,
乙,, 금신,, 구추방해,, 금신,,,, 구추방해,,
丙,,,,,,,,,,, 과살,
丁,,,,,,,,,,,,
戊, 과살 구추방해,, 과살,, 과살,, 과살 구추방해,, 과살,, 과살,
己,,,, 구추방해,,,,,, 구추방해,,
庚,,,,,,,,,,, 과살,
辛,,,, 구추방해,,,,,, 구추방해,,
壬, 구추방해,,,,,, 구추방해,,,, 과살,
癸,,,,,,,,,, 금신,,
